Site_Code,Collect Date (local),Water Temperature (�,E = Estimate; W = Warning; P = Provisional
31D3,3/11/2021,7.4,
31D3,3/12/2021,6.67,
31D3,3/13/2021,6.95,
31D3,3/14/2021,7.01,
31D3,3/15/2021,6.47,
31D3,3/16/2021,6.48,
31D3,3/17/2021,6.8,
31D3,3/18/2021,7.23,
31D3,3/19/2021,7.47,
31D3,3/20/2021,7.68,
31D3,3/21/2021,7.23,
31D3,3/22/2021,7.44,
31D3,3/23/2021,7.55,
31D3,3/24/2021,7.96,
31D3,3/25/2021,8.43,
31D3,3/26/2021,8.42,
31D3,3/27/2021,9.11,
31D3,3/28/2021,8.64,
31D3,3/29/2021,7.47,
31D3,3/30/2021,7.45,
31D3,3/31/2021,8,
31D3,4/1/2021,9.06,
31D3,4/2/2021,9.38,
31D3,4/3/2021,9.69,
31D3,4/4/2021,9.93,
31D3,4/5/2021,9.03,
31D3,4/6/2021,9.01,
31D3,4/7/2021,8.73,
31D3,4/8/2021,8.64,
31D3,4/9/2021,8.29,
31D3,4/10/2021,8.09,
31D3,4/11/2021,7.67,
31D3,4/12/2021,8.04,
31D3,4/13/2021,8.55,
31D3,4/14/2021,9.26,
31D3,4/15/2021,10.36,
31D3,4/16/2021,11.35,
31D3,4/17/2021,12.13,
31D3,4/18/2021,12.71,
31D3,4/19/2021,12.63,
31D3,4/20/2021,12.59,
31D3,4/21/2021,12.44,
31D3,4/22/2021,12.07,
31D3,4/23/2021,11.51,
31D3,4/24/2021,11.41,
31D3,4/25/2021,11.44,
31D3,4/26/2021,11.52,
31D3,4/27/2021,11.29,
31D3,4/28/2021,11.64,
31D3,4/29/2021,12.46,
31D3,4/30/2021,12.91,
31D3,5/1/2021,12.42,
31D3,5/2/2021,11.71,
31D3,5/3/2021,11.45,
31D3,5/4/2021,12.36,
31D3,5/5/2021,12.21,
31D3,5/6/2021,12.91,
31D3,5/7/2021,11.5,
31D3,5/8/2021,11.04,
31D3,5/9/2021,11.24,
31D3,5/10/2021,10.96,
31D3,5/11/2021,11.43,
31D3,5/12/2021,12.35,
31D3,5/13/2021,12.76,
31D3,5/14/2021,13.07,
31D3,5/15/2021,13.16,
31D3,5/16/2021,13.54,
31D3,5/17/2021,13.04,
31D3,5/18/2021,11.69,
31D3,5/19/2021,10.92,
31D3,5/20/2021,10.78,
31D3,5/21/2021,11.3,
31D3,5/22/2021,11.16,
31D3,5/23/2021,11.63,
31D3,5/24/2021,11.67,
31D3,5/25/2021,12.45,
31D3,5/26/2021,12.55,
31D3,5/27/2021,13.12,
31D3,5/28/2021,13.21,
31D3,5/29/2021,13.07,
31D3,5/30/2021,13.6,
31D3,5/31/2021,14.23,
31D3,6/1/2021,15.31,
31D3,6/2/2021,16.3,
31D3,6/3/2021,16.25,
31D3,6/4/2021,15.01,
31D3,6/5/2021,14.05,
31D3,6/6/2021,12.37,
31D3,6/7/2021,13.32,
31D3,6/8/2021,13.28,
31D3,6/9/2021,13.14,
31D3,6/10/2021,12.91,
31D3,6/11/2021,12.86,
31D3,6/12/2021,13.89,
31D3,6/13/2021,15.48,
31D3,6/14/2021,16.55,
31D3,6/15/2021,15.98,
31D3,6/16/2021,15.72,
31D3,6/17/2021,15.37,
31D3,6/18/2021,15.4,
31D3,6/19/2021,15.42,
31D3,6/20/2021,16.5,
31D3,6/21/2021,17.25,
31D3,6/22/2021,17.61,
31D3,6/23/2021,16.8,
31D3,6/24/2021,17.28,
31D3,6/25/2021,18.37,
31D3,6/26/2021,19.93,
31D3,6/27/2021,21.29,
31D3,6/28/2021,22.75,
31D3,6/29/2021,20.96,
31D3,6/30/2021,18.69,
31D3,7/1/2021,18.06,
31D3,7/2/2021,18.26,
31D3,7/3/2021,18.29,
31D3,7/4/2021,17.78,
31D3,7/5/2021,16.83,
31D3,7/6/2021,17.03,
31D3,7/7/2021,16.57,
31D3,7/8/2021,15.42,
31D3,7/9/2021,16.38,
31D3,7/10/2021,17.16,
31D3,7/11/2021,16.96,
