Site_Code,Collect Date (local),Water Temperature (�,E = Estimate; W = Warning; P = Provisional
Elliott_DN,9/12/2016,14.41,
Elliott_DN,9/13/2016,13.1,
Elliott_DN,9/14/2016,13.23,
Elliott_DN,9/15/2016,13.23,
Elliott_DN,9/16/2016,13.04,
Elliott_DN,9/17/2016,13.19,
Elliott_DN,9/18/2016,13.28,
Elliott_DN,9/19/2016,13.17,
Elliott_DN,9/20/2016,12.44,
Elliott_DN,9/21/2016,12.17,
Elliott_DN,9/22/2016,12.29,
Elliott_DN,9/23/2016,12.16,
Elliott_DN,9/24/2016,13.1,
Elliott_DN,9/25/2016,14,
Elliott_DN,9/26/2016,13.71,
Elliott_DN,9/27/2016,13.86,
Elliott_DN,9/28/2016,13.17,
Elliott_DN,9/29/2016,12.51,
Elliott_DN,9/30/2016,11.98,
Elliott_DN,10/1/2016,11.81,
Elliott_DN,10/2/2016,12,
Elliott_DN,10/3/2016,12.02,
Elliott_DN,10/4/2016,12.06,
Elliott_DN,10/5/2016,12.39,
Elliott_DN,10/6/2016,12.62,
Elliott_DN,10/7/2016,12.53,
Elliott_DN,10/8/2016,12.56,
Elliott_DN,10/9/2016,12.37,
Elliott_DN,10/10/2016,11.72,
Elliott_DN,10/11/2016,10.55,
Elliott_DN,10/12/2016,10.5,
Elliott_DN,10/13/2016,11.19,
Elliott_DN,10/14/2016,11.21,
Elliott_DN,10/15/2016,11.01,
Elliott_DN,10/16/2016,10.99,
Elliott_DN,10/17/2016,11.07,
Elliott_DN,10/18/2016,10.9,
Elliott_DN,10/19/2016,10.67,
Elliott_DN,10/20/2016,11.36,
Elliott_DN,10/21/2016,10.84,
Elliott_DN,10/22/2016,10.64,
Elliott_DN,10/23/2016,10.92,
Elliott_DN,10/24/2016,11.05,
Elliott_DN,10/25/2016,10.82,
Elliott_DN,10/26/2016,11.04,
Elliott_DN,10/27/2016,11.2,
Elliott_DN,10/28/2016,10.75,
Elliott_DN,10/29/2016,10.4,
Elliott_DN,10/30/2016,9.71,
Elliott_DN,10/31/2016,10.68,
Elliott_DN,11/1/2016,10.85,
Elliott_DN,11/2/2016,10.85,
Elliott_DN,11/3/2016,10.24,
Elliott_DN,11/4/2016,9.71,
Elliott_DN,11/5/2016,10.62,
Elliott_DN,11/6/2016,10.88,
Elliott_DN,11/7/2016,10.56,
Elliott_DN,11/8/2016,10.36,
Elliott_DN,11/9/2016,10.42,
Elliott_DN,11/10/2016,10.18,
Elliott_DN,11/11/2016,10.31,
Elliott_DN,11/12/2016,10.62,
Elliott_DN,11/13/2016,9.98,
Elliott_DN,11/14/2016,10.48,
Elliott_DN,11/15/2016,10.24,
Elliott_DN,11/16/2016,9.66,
Elliott_DN,11/17/2016,9.04,
Elliott_DN,11/18/2016,8.28,
Elliott_DN,11/19/2016,8.6,
Elliott_DN,11/20/2016,8.68,
Elliott_DN,11/21/2016,8.78,
Elliott_DN,11/22/2016,8.47,
Elliott_DN,11/23/2016,8.58,
Elliott_DN,11/24/2016,8.53,
Elliott_DN,11/25/2016,8.5,
Elliott_DN,11/26/2016,8.81,
Elliott_DN,11/27/2016,8.55,
Elliott_DN,11/28/2016,8.28,
Elliott_DN,11/29/2016,8.43,
Elliott_DN,11/30/2016,8.2,
Elliott_DN,12/1/2016,8.05,
Elliott_DN,12/2/2016,8.29,
Elliott_DN,12/3/2016,8.11,
Elliott_DN,12/4/2016,7.38,
Elliott_DN,12/5/2016,6.38,
Elliott_DN,12/6/2016,6.03,
Elliott_DN,12/7/2016,5.54,
Elliott_DN,12/8/2016,4.89,
Elliott_DN,12/9/2016,4.6,
Elliott_DN,12/10/2016,4.9,
Elliott_DN,12/11/2016,5.99,
Elliott_DN,12/12/2016,6.15,
Elliott_DN,12/13/2016,6.03,
Elliott_DN,12/14/2016,5.13,
Elliott_DN,12/15/2016,5.65,
Elliott_DN,12/16/2016,5.05,
Elliott_DN,12/17/2016,4.28,
Elliott_DN,12/18/2016,5.07,
Elliott_DN,12/19/2016,5.78,
Elliott_DN,12/20/2016,6.53,
Elliott_DN,12/21/2016,6.2,
Elliott_DN,12/22/2016,5.78,
Elliott_DN,12/23/2016,5.73,
Elliott_DN,12/24/2016,5.6,
Elliott_DN,12/25/2016,5.58,
Elliott_DN,12/26/2016,5.55,
Elliott_DN,12/27/2016,6.14,
Elliott_DN,12/28/2016,6.41,
Elliott_DN,12/29/2016,6.41,
Elliott_DN,12/30/2016,5.87,
Elliott_DN,12/31/2016,5.12,
Elliott_DN,1/1/2017,5.39,
Elliott_DN,1/2/2017,4.88,
Elliott_DN,1/3/2017,3.72,
Elliott_DN,1/4/2017,3.32,
Elliott_DN,1/5/2017,3.15,
Elliott_DN,1/6/2017,3.46,
Elliott_DN,1/7/2017,3.76,
Elliott_DN,1/8/2017,4.74,
Elliott_DN,1/9/2017,5.26,
Elliott_DN,1/10/2017,5.4,
Elliott_DN,1/11/2017,4.7,
Elliott_DN,1/12/2017,3.75,
Elliott_DN,1/13/2017,3.6,
Elliott_DN,1/14/2017,3.94,
Elliott_DN,1/15/2017,4.02,
Elliott_DN,1/16/2017,4.67,
Elliott_DN,1/17/2017,5.62,
Elliott_DN,1/18/2017,5.18,
Elliott_DN,1/19/2017,5.16,
Elliott_DN,1/20/2017,5.21,
Elliott_DN,1/21/2017,5.83,
Elliott_DN,1/22/2017,6.06,
